order_id,customer_id,order_date,Order Status,sub_total,order_total,total_quantity,Product Details,day,month,coupon
1695,1019,2/12/2014,Shipped,138.0,110.4,2,"Product ID: 510, Product Qty: 1, Product SKU: 402-Black-M, Product Name: Crew Neck, Long Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 71.00, Product Total Price: 71.00|Product ID: 549, Product Qty: 1, Product SKU: 402-Java-M, Product Name: Crew Neck, Long Sleeve, Java, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 71.00, Product Total Price: 71.00",2,12,True
1694,1018,2/12/2014,Shipped,138.0,110.4,2,"Product ID: 510, Product Qty: 1, Product SKU: 402-Black-L, Product Name: Crew Neck, Long Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: L, Product Unit Price: 74.26, Product Total Price: 74.26|Product ID: 543, Product Qty: 1, Product SKU: 402-White-L, Product Name: Crew Neck, Long Sleeve, White, Product Weight: 0.3500, Product Variation Details: Size: L, Product Unit Price: 74.26, Product Total Price: 74.26",2,12,True
1711,1031,3/12/2014,Shipped,140.0,112.0,2,"Product ID: 572, Product Qty: 1, Product SKU: 402-Slate Gray-S, Product Name: Crew Neck, Long Sleeve, Slate Gray, Product Weight: 0.3500, Product Variation Details: Size: S, Product Unit Price: 69.00, Product Total Price: 69.00|Product ID: 588, Product Qty: 1, Product SKU: 802-Chili Pepper Red-M, Product Name: Turtleneck, Long Sleeve, Chili Pepper Red ONLY Size S & M Left, Product Weight: 0.3000, Product Variation Details: Size: M, Product Unit Price: 71.00, Product Total Price: 71.00",3,12,True
1708,1028,2/12/2014,Shipped,144.0,115.2,2,"Product ID: 552, Product Qty: 1, Product SKU: 1070-Black-L, Product Name: Legging, Product Weight: 0.3000, Product Variation Details: Size: L, Product Unit Price: 77.18, Product Total Price: 77.18|Product ID: 572, Product Qty: 1, Product SKU: 402-Slate Gray-L, Product Name: Crew Neck, Long Sleeve, Slate Gray, Product Weight: 0.3500, Product Variation Details: Size: L, Product Unit Price: 71.00, Product Total Price: 71.00",2,12,True
1691,1015,2/12/2014,Shipped,168.0,134.4,2,"Product ID: 573, Product Qty: 1, Product SKU: 302-Grey-M, Product Name: V-Neck, Long Sleeve, Slate Gray, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 71.00, Product Total Price: 71.00|Product ID: 584, Product Qty: 1, Product SKU: 2000-Chili Pepper Red-M, Product Name: Droop Neck, 3/4 Sleeve, Chili Pepper Red, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 101.87, Product Total Price: 101.87",2,12,True
1732,1045,10/12/2014,Shipped,168.0,134.4,2,"Product ID: 556, Product Qty: 1, Product SKU: 202-Java-XL, Product Name: Modest Scoop, Long Sleeve, Java, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 71.00, Product Total Price: 71.00|Product ID: 590, Product Qty: 1, Product SKU: 2000-Navy-S, Product Name: Droop Neck, 3/4 Sleeve, Navy, Product Weight: 0.3000, Product Variation Details: Size: S, Product Unit Price: 101.87, Product Total Price: 101.87",10,12,True
1699,1022,2/12/2014,Shipped,207.0,165.6,3,"Product ID: 496, Product Qty: 1, Product SKU: 202-Black-S, Product Name: Modest Scoop, Long Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: S, Product Unit Price: 71.00, Product Total Price: 71.00|Product ID: 496, Product Qty: 1, Product SKU: 202-Black-M, Product Name: Modest Scoop, Long Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 71.00, Product Total Price: 71.00|Product ID: 496, Product Qty: 1, Product SKU: 202-Black-L, Product Name: Modest Scoop, Long Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: L, Product Unit Price: 71.00, Product Total Price: 71.00",2,12,True
1704,1026,2/12/2014,Shipped,230.0,184.0,3,"Product ID: 500, Product Qty: 1, Product SKU: 302-Black-XL, Product Name: V-Neck, Long Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 69.00, Product Total Price: 69.00|Product ID: 501, Product Qty: 1, Product SKU: 301-Black-XL, Product Name: V-Neck, Short Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 62.00, Product Total Price: 62.00|Product ID: 525, Product Qty: 1, Product SKU: 1050-Black-XL, Product Name: EveryWear Luxury Pant, Black, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 99.00, Product Total Price: 99.00",2,12,True
1683,1009,2/12/2014,Shipped,251.0,200.8,4,"Product ID: 508, Product Qty: 1, Product SKU: 302-White-XL, Product Name: V-Neck, Long Sleeve, White, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 71.00, Product Total Price: 71.00|Product ID: 516, Product Qty: 1, Product SKU: 1010-Black-XL, Product Name: Lounge Short, Black, Sizes XS and XL only, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 14.41, Product Total Price: 14.41|Product ID: 527, Product Qty: 1, Product SKU: 1050-White-XL, Product Name: EveryWear Luxury Pant, White, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 101.87, Product Total Price: 101.87|Product ID: 549, Product Qty: 1, Product SKU: 402-Java, Product Name: Crew Neck, Long Sleeve, Java, Product Weight: 0.3500, Product Variation Details: Size: XXL, Product Unit Price: 71.00, Product Total Price: 71.00",2,12,True
1700,1023,2/12/2014,Shipped,282.0,225.6,4,"Product ID: 495, Product Qty: 2, Product SKU: 202-Natural-M, Product Name: Modest Scoop, Long Sleeve, Natural, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 71.00, Product Total Price: 142.00|Product ID: 500, Product Qty: 1, Product SKU: 302-Black-M, Product Name: V-Neck, Long Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 71.00, Product Total Price: 71.00|Product ID: 552, Product Qty: 1, Product SKU: 1070-Black-M, Product Name: Legging, Product Weight: 0.3000, Product Variation Details: Size: M, Product Unit Price: 77.18, Product Total Price: 77.18",2,12,True
1701,1024,2/12/2014,Shipped,45.0,41.5,1,"Product ID: 491, Product Qty: 1, Product SKU: 101-Natural-L, Product Name: Deep Scoop, Short Sleeve, Natural, Product Weight: 0.3500, Product Variation Details: Size: L, Product Unit Price: 46.31, Product Total Price: 46.31",2,12,True
1697,1020,2/12/2014,Shipped,49.0,47.55,1,"Product ID: 542, Product Qty: 1, Product SKU: 1060-White-M/L, Product Name: Robe, White, Product Weight: 1.0000, Product Variation Details: Size: M/L, Product Unit Price: 50.42, Product Total Price: 50.42",2,12,True
2771,1358,12/12/2016,Shipped,35.0,17.5,1,"Product ID: 538, Product Qty: 1, Product SKU: 401-Natural-M, Product Name: Crew Neck, Short Sleeve, Natural, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 35.00, Product Total Price: 35.00",12,12,True
2704,1348,1/12/2016,Shipped,39.0,19.5,1,"Product ID: 536, Product Qty: 1, Product SKU: 501-Natural-XS, Product Name: Tank, Natural Size XS only, Product Weight: 0.3500, Product Variation Details: Size: XS, Product Unit Price: 41.98, Product Total Price: 41.98",1,12,True
